MATNR,MTART,MAKTX,MEINS,WERKS,DISMM,MINBE,EISBE
MAT-1001,ROH,ROH Component 1,EA,DE01,PD,78.0,75.0
MAT-1002,ROH,ROH Component 2,KG,1000,,124.0,58.0
MAT-1003,FERT,FERT Component 3,Kilogram,DE01,ND,13.0,71.0
MAT-1004,HALB,HALB Component 4,ea,DE01,ND,196.0,38.0
MAT-1005,FERT,FERT Component 5,l,1000,ND,195.0,84.0
MAT-1006,ROH,ROH Component 6,EA,1000,PD,389.0,86.0
MAT-1007,HALB,HALB Component 7,kg,DE01,PD,184.0,72.0
MAT-1008,ROH,ROH Component 8,L,1100,VB,196.0,66.0
MAT-1009,ROH,ROH Component 9,KG,1100,ND,404.0,11.0
MAT-1010,FERT,FERT Component 10,l,1000 ,ND,325.0,18.0
MAT-1011,ROH,ROH Component 11,l,1000 ,PD,499.0,52.0
MAT-1012,FERT,FERT Component 12,ea,1000 ,ND,199.0,49.0
MAT-1013,ROH,ROH Component 13,EA,DE01,PD,177.0,20.0
MAT-1014,ROH,ROH Component 14,l,1100,VB,62.0,85.0
MAT-1015,FERT,FERT Component 15,KG,1000,ND,249.0,39.0
MAT-1016,FERT,FERT Component 16,ea,1000,VB,248.0,
MAT-1017,FERT,FERT Component 17,l,1100,VB,437.0,25.0
MAT-1018,ROH,ROH Component 18,kg,DE01,ND,264.0,26.0
MAT-1019,FERT,FERT Component 19,Liter,1100,PD,14.0,11.0
MAT-1020,FERT,FERT Component 20,KG,1100,,248.0,74.0
MAT-1021,FERT,FERT Component 21,kg,1100,PD,333.0,44.0
MAT-1022,ROH,ROH Component 22,Liter,1000,PD,,81.0
MAT-1023,FERT,FERT Component 23,ea,1000 ,PD,100.0,88.0
MAT-1024,HALB,HALB Component 24,L,1000,PD,275.0,
MAT-1025,FERT,FERT Component 25,PC,1000 ,PD,434.0,21.0
MAT-1026,HALB,HALB Component 26,kg,DE01,,479.0,58.0
MAT-1027,FERT,FERT Component 27,Each,1100,PD,294.0,76.0
MAT-1028,FERT,FERT Component 28,l,1100,PD,,86.0
MAT-1029,ROH,ROH Component 29,ea,1000 ,PD,446.0,61.0
MAT-1030,HALB,HALB Component 30,Liter,DE01,,110.0,28.0
MAT-1031,FERT,FERT Component 31,Liter,DE01,PD,465.0,6.0
MAT-1032,FERT,FERT Component 32,L,DE01,VB,181.0,
MAT-1033,HALB,HALB Component 33,KG,1000 ,PD,355.0,99.0
MAT-1034,ROH,ROH Component 34,l,1000,VB,76.0,15.0
MAT-1035,HALB,HALB Component 35,Kilogram,1100,,110.0,30.0
MAT-1036,HALB,HALB Component 36,EA,1000 ,ND,32.0,17.0
MAT-1037,FERT,FERT Component 37,l,1000 ,VB,65.0,71.0
MAT-1038,ROH,ROH Component 38,Each,1100,PD,30.0,94.0
MAT-1039,HALB,HALB Component 39,ea,1000,VB,284.0,98.0
MAT-1040,FERT,FERT Component 40,ea,1000 ,,,37.0
MAT-1041,ROH,ROH Component 41,L,DE01,,354.0,9.0
MAT-1042,FERT,FERT Component 42,PC,DE01,VB,400.0,7.0
MAT-1043,HALB,HALB Component 43,kg,1000,ND,147.0,43.0
MAT-1044,FERT,FERT Component 44,Each,1100,,492.0,
MAT-1045,HALB,HALB Component 45,l,1000 ,ND,261.0,60.0
MAT-1046,FERT,FERT Component 46,l,1000,VB,405.0,94.0
MAT-1047,HALB,HALB Component 47,KG,DE01,ND,335.0,91.0
MAT-1048,ROH,ROH Component 48,kg,1000 ,,282.0,68.0
MAT-1049,ROH,ROH Component 49,L,DE01,ND,419.0,25.0
MAT-1050,HALB,HALB Component 50,kg,1100,PD,399.0,75.0
MAT-1051,HALB,HALB Component 51,Liter,DE01,VB,476.0,34.0
MAT-1052,FERT,FERT Component 52,EA,1100,VB,310.0,48.0
MAT-1053,ROH,ROH Component 53,l,1000 ,PD,82.0,90.0
MAT-1054,HALB,HALB Component 54,ea,1000 ,,,86.0
MAT-1055,FERT,FERT Component 55,Kilogram,DE01,,447.0,73.0
MAT-1056,ROH,ROH Component 56,KG,1000 ,,378.0,31.0
MAT-1057,ROH,ROH Component 57,Each,1000 ,ND,,31.0
MAT-1058,ROH,ROH Component 58,ea,1100,,350.0,11.0
MAT-1059,HALB,HALB Component 59,l,1000 ,PD,,42.0
MAT-1060,ROH,ROH Component 60,kg,1000,,156.0,90.0
MAT-1061,ROH,ROH Component 61,Liter,1100,,144.0,42.0
MAT-1062,ROH,ROH Component 62,PC,1100,PD,272.0,61.0
MAT-1063,FERT,FERT Component 63,l,1100,,99.0,36.0
MAT-1064,HALB,HALB Component 64,kg,DE01,PD,418.0,13.0
MAT-1065,ROH,ROH Component 65,L,DE01,PD,44.0,9.0
MAT-1066,FERT,FERT Component 66,EA,1100,,242.0,95.0
MAT-1067,ROH,ROH Component 67,kg,1100,VB,482.0,79.0
MAT-1068,HALB,HALB Component 68,EA,DE01,VB,455.0,94.0
MAT-1069,FERT,FERT Component 69,Liter,1100,PD,389.0,62.0
MAT-1070,ROH,ROH Component 70,Each,1000 ,,44.0,6.0
MAT-1071,HALB,HALB Component 71,PC,DE01,ND,416.0,46.0
