PLNNR,MATNR,OPERATION_SEQ,ARBPL,STD_TIME_MIN
RTG-7001,MAT-1003,10,WC-114,35.6
RTG-7001,MAT-1003,20,WC-101,12.1
RTG-7002,MAT-1004,10,WC-106,42.8
RTG-7002,MAT-1004,20,WC-101,31.2
RTG-7002,MAT-1004,30,WC-106,34.8
RTG-7002,MAT-1004,40,WC-110,17.8
RTG-7003,MAT-1005,10,WC-111,43.3
RTG-7003,MAT-1005,20,WC-101,23.5
RTG-7003,MAT-1005,30,WC-107,7.1
RTG-7004,MAT-1007,10,WC-112,44.8
RTG-7004,MAT-1007,20,WC-105,44.9
RTG-7004,MAT-1007,30,WC-104,38.7
RTG-7005,MAT-1010,10,WC-103,21.1
RTG-7005,MAT-1010,20,WC-102,43.6
RTG-7005,MAT-1010,30,WC-106,32.5
RTG-7006,MAT-1012,10,WC-109,14.9
RTG-7006,MAT-1012,20,WC-103,41.9
RTG-7006,MAT-1012,30,WC-111,17.5
RTG-7006,MAT-1012,40,WC-104,10.6
RTG-7007,MAT-1015,10,WC-104,3.1
RTG-7007,MAT-1015,20,WC-109,22.1
RTG-7008,MAT-1016,10,WC-103,5.7
RTG-7008,MAT-1016,20,WC-105,32.8
RTG-7008,MAT-1016,30,WC-108,35.1
RTG-7008,MAT-1016,40,WC-114,7.4
RTG-7009,MAT-1017,10,WC-111,22.0
RTG-7009,MAT-1017,20,WC-109,39.8
RTG-7009,MAT-1017,30,WC-113,27.3
RTG-7010,MAT-1019,10,WC-107,39.3
RTG-7010,MAT-1019,20,WC-114,8.6
RTG-7011,MAT-1020,10,WC-103,32.5
RTG-7011,MAT-1020,20,WC-106,24.3
RTG-7012,MAT-1021,10,WC-114,10.4
RTG-7012,MAT-1021,20,WC-109,28.9
RTG-7012,MAT-1021,30,WC-110,23.6
RTG-7013,MAT-1023,10,WC-110,8.6
RTG-7013,MAT-1023,20,WC-111,40.8
RTG-7014,MAT-1024,10,WC-114,3.8
RTG-7014,MAT-1024,20,WC-902,42.8
RTG-7014,MAT-1024,30,WC-113,30.0
RTG-7015,MAT-1025,10,WC-107,3.3
RTG-7015,MAT-1025,20,WC-115,14.5
RTG-7015,MAT-1025,30,WC-105,36.6
RTG-7015,MAT-1025,40,WC-111,21.5
RTG-7016,MAT-1026,10,WC-101,19.9
RTG-7016,MAT-1026,20,WC-108,28.1
RTG-7016,MAT-1026,30,WC-106,15.7
RTG-7016,MAT-1026,40,WC-114,19.1
RTG-7017,MAT-1027,10,WC-109,15.7
RTG-7017,MAT-1027,20,WC-108,21.3
RTG-7017,MAT-1027,30,WC-103,14.5
RTG-7018,MAT-1028,10,WC-114,12.7
RTG-7018,MAT-1028,20,WC-114,37.0
RTG-7018,MAT-1028,30,WC-115,15.4
RTG-7019,MAT-1030,10,WC-108,22.1
RTG-7019,MAT-1030,20,WC-115,3.0
RTG-7020,MAT-1031,10,WC-109,12.4
RTG-7020,MAT-1031,20,WC-110,4.2
RTG-7020,MAT-1031,30,WC-108,38.2
RTG-7021,MAT-1032,10,WC-108,2.4
RTG-7021,MAT-1032,20,WC-102,39.9
RTG-7021,MAT-1032,30,WC-112,19.3
RTG-7021,MAT-1032,40,WC-101,26.5
RTG-7022,MAT-1033,10,WC-106,5.2
RTG-7022,MAT-1033,20,WC-109,25.6
RTG-7023,MAT-1035,10,WC-111,7.5
RTG-7023,MAT-1035,20,WC-102,36.2
RTG-7023,MAT-1035,30,WC-106,17.7
RTG-7023,MAT-1035,40,WC-103,23.9
RTG-7024,MAT-1036,10,WC-101,7.9
RTG-7024,MAT-1036,20,WC-106,24.3
RTG-7024,MAT-1036,30,WC-103,24.2
RTG-7024,MAT-1036,40,WC-106,15.7
RTG-7025,MAT-1037,10,WC-110,14.9
RTG-7025,MAT-1037,20,WC-106,23.9
RTG-7025,MAT-1037,30,WC-108,14.9
RTG-7026,MAT-1039,10,WC-106,6.7
RTG-7026,MAT-1039,20,WC-107,36.3
RTG-7027,MAT-1040,10,WC-114,3.1
RTG-7027,MAT-1040,20,WC-108,30.2
RTG-7027,MAT-1040,30,WC-113,11.8
RTG-7027,MAT-1040,40,WC-101,9.3
RTG-7028,MAT-1042,10,WC-112,38.2
RTG-7028,MAT-1042,20,WC-103,12.4
RTG-7028,MAT-1042,30,WC-110,6.7
RTG-7028,MAT-1042,40,WC-101,20.0
RTG-7029,MAT-1043,10,WC-112,23.6
RTG-7029,MAT-1043,20,WC-110,39.5
RTG-7029,MAT-1043,30,WC-112,32.3
RTG-7030,MAT-1044,10,WC-104,44.9
RTG-7030,MAT-1044,20,WC-108,15.5
RTG-7030,MAT-1044,30,WC-103,24.9
RTG-7030,MAT-1044,40,WC-109,35.2
RTG-7031,MAT-1045,10,WC-111,31.8
RTG-7031,MAT-1045,20,WC-110,43.2
RTG-7031,MAT-1045,30,WC-105,11.7
RTG-7031,MAT-1045,40,WC-105,32.3
RTG-7032,MAT-1046,10,WC-112,22.6
RTG-7032,MAT-1046,20,WC-109,36.2
RTG-7032,MAT-1046,30,WC-105,26.7
