STLNR,PARENT_MATNR,COMPONENT_MATNR,QTY,UOM
BOM-5001,MAT-1003,MAT-1079,9.56,PC
BOM-5001,MAT-1003,MAT-1089,4.99,PC
BOM-5001,MAT-1003,MAT-1110,9.83,PC
BOM-5001,MAT-1003,MAT-1070,6.8,PC
BOM-5001,MAT-1003,MAT-1051,9.71,PC
BOM-5002,MAT-1004,MAT-1085,6.76,PC
BOM-5002,MAT-1004,MAT-1007,3.19,PC
BOM-5003,MAT-1005,MAT-1009,5.99,KG
BOM-5003,MAT-1005,MAT-1028,3.1,PC
BOM-5003,MAT-1005,MAT-1101,1.03,PC
BOM-5004,MAT-1007,MAT-1070,2.57,KG
BOM-5004,MAT-1007,MAT-1076,2.57,PC
BOM-5005,MAT-1010,MAT-1095,2.02,PC
BOM-5005,MAT-1010,MAT-1061,4.26,KG
BOM-5005,MAT-1010,MAT-1014,2.99,KG
BOM-5006,MAT-1012,MAT-1094,8.8,KG
BOM-5006,MAT-1012,MAT-1039,9.68,PC
BOM-5007,MAT-1015,MAT-1109,7.17,PC
BOM-5007,MAT-1015,MAT-1092,1.66,PC
BOM-5007,MAT-1015,MAT-1042,1.59,PC
BOM-5007,MAT-1015,MAT-1080,5.94,PC
BOM-5007,MAT-1015,MAT-1049,5.78,PC
BOM-5008,MAT-1016,MAT-1013,2.03,KG
BOM-5008,MAT-1016,MAT-1084,5.96,PC
BOM-5008,MAT-1016,MAT-1056,3.06,PC
BOM-5008,MAT-1016,MAT-1106,4.74,PC
BOM-5008,MAT-1016,MAT-1041,6.99,PC
BOM-5009,MAT-1017,MAT-1088,1.6,PC
BOM-5009,MAT-1017,MAT-1012,7.7,PC
BOM-5009,MAT-1017,MAT-1104,1.54,KG
BOM-5010,MAT-1019,MAT-1086,4.18,KG
BOM-5010,MAT-1019,MAT-1034,8.81,KG
BOM-5010,MAT-1019,MAT-1007,6.4,PC
BOM-5010,MAT-1019,MAT-1014,2.91,KG
BOM-5011,MAT-1020,MAT-1029,4.15,KG
BOM-5011,MAT-1020,MAT-1048,3.51,PC
BOM-5011,MAT-1020,MAT-1104,6.05,KG
BOM-5011,MAT-1020,MAT-1079,6.01,KG
BOM-5011,MAT-1020,MAT-1119,7.24,PC
BOM-5012,MAT-1021,MAT-1035,3.78,PC
BOM-5012,MAT-1021,MAT-1009,6.7,PC
BOM-5013,MAT-1023,MAT-1096,4.39,PC
BOM-5013,MAT-1023,MAT-1044,3.8,PC
BOM-5014,MAT-1024,MAT-1114,2.42,KG
BOM-5014,MAT-1024,MAT-1007,3.45,KG
BOM-5015,MAT-1025,MAT-1063,4.73,PC
BOM-5015,MAT-1025,MAT-1097,4.11,PC
BOM-5015,MAT-1025,MAT-1037,6.34,KG
BOM-5015,MAT-1025,MAT-1086,2.98,KG
BOM-5016,MAT-1026,MAT-1038,1.07,KG
BOM-5016,MAT-1026,MAT-1056,4.42,KG
BOM-5016,MAT-1026,MAT-1030,8.5,PC
BOM-5016,MAT-1026,MAT-1010,7.68,PC
BOM-5017,MAT-1027,MAT-1059,8.76,KG
BOM-5017,MAT-1027,MAT-1055,7.39,PC
BOM-5018,MAT-1028,MAT-1015,9.7,PC
BOM-5018,MAT-1028,MAT-1103,5.14,KG
BOM-5018,MAT-1028,MAT-1118,4.93,PC
BOM-5018,MAT-1028,MAT-1032,4.6,PC
BOM-5019,MAT-1030,MAT-1112,4.06,PC
BOM-5019,MAT-1030,MAT-1100,5.59,PC
BOM-5019,MAT-1030,MAT-1068,9.15,PC
BOM-5019,MAT-1030,MAT-1045,8.37,PC
BOM-5019,MAT-1030,MAT-1031,3.3,PC
BOM-5020,MAT-1031,MAT-1098,1.68,KG
BOM-5020,MAT-1031,MAT-1064,6.07,KG
BOM-5020,MAT-1031,MAT-1058,8.94,KG
BOM-5021,MAT-1032,MAT-1111,3.85,PC
BOM-5021,MAT-1032,MAT-1009,6.68,PC
BOM-5021,MAT-1032,MAT-1076,5.57,PC
BOM-5021,MAT-1032,MAT-1060,1.51,PC
BOM-5022,MAT-1033,MAT-1083,8.7,KG
BOM-5022,MAT-1033,MAT-1077,5.16,KG
BOM-5023,MAT-1035,MAT-1058,6.14,PC
BOM-5023,MAT-1035,MAT-1042,5.51,PC
BOM-5024,MAT-1036,MAT-1014,8.54,KG
BOM-5024,MAT-1036,MAT-1011,2.55,PC
BOM-5024,MAT-1036,MAT-1091,4.95,KG
BOM-5024,MAT-1036,MAT-1079,4.36,PC
BOM-5024,MAT-1036,MAT-1050,4.05,KG
BOM-5025,MAT-1037,MAT-1102,4.01,PC
BOM-5025,MAT-1037,MAT-1013,4.48,PC
BOM-5026,MAT-1039,MAT-1043,6.97,PC
BOM-5026,MAT-1039,MAT-1040,7.29,PC
BOM-5026,MAT-1039,MAT-1017,9.44,PC
BOM-5027,MAT-1040,MAT-1083,8.32,KG
BOM-5027,MAT-1040,MAT-1090,7.65,KG
BOM-5027,MAT-1040,MAT-1117,6.81,PC
BOM-5027,MAT-1040,MAT-1066,4.26,PC
BOM-5027,MAT-1040,MAT-1069,9.53,PC
BOM-5028,MAT-1042,MAT-1029,2.39,PC
BOM-5028,MAT-1042,MAT-1109,5.57,KG
BOM-5028,MAT-1042,MAT-1107,5.74,KG
BOM-5029,MAT-1043,MAT-1113,2.18,PC
BOM-5029,MAT-1043,MAT-1020,8.48,KG
BOM-5029,MAT-1043,MAT-1104,7.49,PC
BOM-5029,MAT-1043,MAT-1053,7.48,PC
BOM-5030,MAT-1044,MAT-1097,5.04,KG
BOM-5030,MAT-1044,MAT-1031,8.28,PC
BOM-5030,MAT-1044,MAT-1116,4.31,KG
BOM-5030,MAT-1044,MAT-1057,3.54,PC
BOM-5031,MAT-1045,MAT-1059,2.8,KG
BOM-5031,MAT-1045,MAT-1018,1.47,PC
BOM-5031,MAT-1045,MAT-1112,9.41,KG
BOM-5031,MAT-1045,MAT-1109,2.12,PC
BOM-5031,MAT-1045,MAT-1098,5.04,KG
BOM-5032,MAT-1046,MAT-1107,9.52,PC
BOM-5032,MAT-1046,MAT-1105,4.15,PC
BOM-5032,MAT-1046,MAT-1054,5.52,PC
BOM-5033,MAT-1047,MAT-1011,1.25,PC
BOM-5033,MAT-1047,MAT-1108,4.02,PC
BOM-5033,MAT-1047,MAT-1098,5.04,PC
BOM-5033,MAT-1047,MAT-1116,3.3,PC
BOM-5034,MAT-1050,MAT-1015,3.14,PC
BOM-5034,MAT-1050,MAT-1007,6.75,KG
BOM-5034,MAT-1050,MAT-1059,8.53,PC
BOM-5034,MAT-1050,MAT-1077,6.69,KG
BOM-5034,MAT-1050,MAT-1031,3.62,PC
BOM-5035,MAT-1051,MAT-1031,2.69,KG
BOM-5035,MAT-1051,MAT-1011,4.25,KG
BOM-5035,MAT-1051,MAT-1070,9.89,KG
BOM-5035,MAT-1051,MAT-1003,5.23,KG
BOM-5036,MAT-1052,MAT-1087,7.73,PC
BOM-5036,MAT-1052,MAT-1101,3.17,KG
BOM-5036,MAT-1052,MAT-1081,6.24,PC
BOM-5036,MAT-1052,MAT-1023,7.16,KG
BOM-5037,MAT-1054,MAT-1081,2.21,KG
BOM-5037,MAT-1054,MAT-1100,1.33,PC
BOM-5037,MAT-1054,MAT-1006,8.97,PC
BOM-5037,MAT-1054,MAT-1120,4.58,KG
BOM-5037,MAT-1054,MAT-1061,7.78,PC
BOM-5038,MAT-1055,MAT-1046,1.43,KG
BOM-5038,MAT-1055,MAT-1043,8.19,PC
BOM-5038,MAT-1055,MAT-1114,4.96,PC
BOM-5038,MAT-1055,MAT-1044,5.47,PC
BOM-5039,MAT-1059,MAT-1119,3.4,PC
BOM-5039,MAT-1059,MAT-1094,4.88,PC
BOM-5039,MAT-1059,MAT-1070,1.92,PC
BOM-5039,MAT-1059,MAT-1085,5.01,KG
BOM-5040,MAT-1063,MAT-1022,4.16,PC
BOM-5040,MAT-1063,MAT-1094,4.17,PC
